Stock,Symbol,Shares Held
Axis capital holdings ltd,AXS,557496.0
Expedia group inc,EXPE,172193.0
Imax corp,IMAX,1764200.0
Consolidated edison co. of new york inc. (consolidated gas co. of new york),ED,352668.0
Petrochina co ltd adr,PTR,660047.0
Yeti holdings inc,YETI,552400.0
Waterstone financial inc,WSBF,1710970.0
Encompass health corp,EHC,464600.0
Teladoc health inc,TDOC,457019.0
Burlington stores inc,BURL,180000.0
Cemex s.a. de c.v. series a (sponsored adr) adr,CX,6184793.0
Mccormick & co. non-voting shares,MKC,325800.0
Everest re group ltd.,RE,107800.0
Canon inc. adr,CAJ,1333207.0
Rexford industrial realty inc,REXR,434500.0
Waters corporation,WAT,104300.0
Hostess brands inc class a,TWNK,1474910.0
Maravai lifesciences holdings  inc.,MRVI,913200.0
The hackett group inc,HCKT,1394344.0
Mettler-toledo international  inc.,MTD,23400.0
Watts water technologies  inc.,WTS,230000.0
Dover corp.,DOV,204600.0
Pure storage inc,PSTG,897300.0
Monday.com ltd,MNDY,199100.0
Bank of montreal (nyse),BMO,266495.0
Cnx resources corporation,CNX,1513616.0
Nordson corporation,NDSN,137214.0
Chase corp.,CCF,358000.0
United microelectronics corp. adr,UMC,3410950.0
Stellantis nv,STLA,1896958.0
Surmodics  inc.,SRDX,685500.0
Fluor corp.,FLR,1075900.0
Myers industries inc.,MYE,1427097.0
Sohucom ltd ads,SOHU,1832355.0
Star peak energy transition corp,STEM,2761600.0
Veeva systems inc,VEEV,143100.0
Thomson reuters corp.,TRI,279260.0
Avery dennison corp.,AVY,174300.0
Ke holdings inc.,BEKE,2451294.0
Suzano papel e celulose sa,SUZ,2606838.0
Re/max holdings inc,RMAX,1089000.0
Iradimed corp,IRMD,673312.0
Smith (a.o.) corp.  class b,AOS,471900.0
Perion network ltd,PERI,1339543.0
Atrion corp.,ATRI,42200.0
Old republic international corp.,ORI,1153585.0
Stantec inc,STN,592700.0
Terex corp. (northwest engineering co.),TEX,833600.0
Haverty furniture companies  inc.,HVT,1083606.0
